iter	Passed	Remaining
0	1	120
1	2	109
2	3	124
3	4	112
4	6	119
5	7	123
6	9	127
7	11	130
8	12	131
9	14	131
10	16	131
11	17	130
12	19	130
13	21	130
14	22	130
15	24	129
16	26	128
17	27	127
18	29	125
19	30	123
20	32	122
21	34	121
22	36	120
23	37	119
24	39	118
25	41	117
26	42	116
27	44	114
28	46	112
29	47	111
30	49	109
31	51	108
32	52	106
33	54	105
34	55	103
35	57	101
36	58	100
37	60	98
38	61	96
39	63	94
40	64	93
41	65	90
42	67	88
43	68	87
44	70	85
45	71	84
46	73	82
47	74	80
48	76	79
49	77	77
50	79	76
51	80	74
52	81	72
53	83	71
54	84	69
55	86	67
56	87	65
57	88	64
58	90	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	98	53
65	99	51
66	101	49
67	102	48
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	112	37
75	113	35
76	115	34
77	116	32
78	117	31
79	119	29
80	120	28
81	121	26
82	122	25
83	124	23
84	125	22
85	126	20
86	127	19
87	128	17
88	129	16
89	130	14
90	131	13
91	132	11
92	133	10
93	134	8
94	135	7
95	136	5
96	137	4
97	138	2
98	139	1
99	140	0
