iter	Passed	Remaining
0	149	149055
1	150	75110
2	152	50533
3	153	38184
4	154	30758
5	155	25806
6	156	22252
7	157	19578
8	158	17474
9	159	15774
10	160	14387
11	160	13229
12	161	12258
13	162	11428
14	162	10691
15	163	10052
16	164	9494
17	164	8994
18	165	8558
19	166	8162
20	167	7803
21	168	7468
22	168	7162
23	169	6887
24	170	6635
25	171	6415
26	172	6198
27	172	5991
28	173	5801
29	173	5622
30	175	5474
31	175	5317
32	176	5171
33	177	5030
34	177	4896
35	178	4771
36	178	4651
37	179	4541
38	180	4435
39	180	4338
40	181	4244
41	181	4151
42	182	4064
43	183	3980
44	183	3899
45	184	3824
46	184	3750
47	185	3683
48	186	3617
49	187	3556
50	187	3495
51	188	3436
52	189	3380
53	189	3326
54	190	3274
55	191	3224
56	191	3175
57	192	3128
58	193	3083
59	194	3040
60	194	3000
61	195	2963
62	196	2922
63	197	2882
64	197	2843
65	198	2806
66	198	2768
67	199	2733
68	199	2698
69	200	2664
70	201	2633
71	202	2604
72	202	2574
73	203	2544
74	203	2515
75	204	2487
76	205	2459
77	205	2431
78	206	2404
79	206	2379
80	207	2354
81	208	2331
82	208	2304
83	209	2283
84	209	2259
85	210	2237
86	211	2215
87	211	2193
88	212	2171
89	212	2152
90	213	2131
91	214	2112
92	214	2094
93	215	2076
94	216	2058
95	216	2039
96	217	2022
97	217	2004
98	218	1986
99	218	1970
100	219	1953
101	219	1936
102	220	1920
103	221	1904
104	221	1889
105	222	1874
106	222	1859
107	223	1845
108	224	1832
109	224	1818
110	225	1805
111	226	1792
112	226	1779
113	227	1766
114	227	1753
115	228	1743
116	229	1729
117	229	1717
118	230	1704
119	230	1692
120	231	1680
121	231	1668
122	232	1656
123	232	1645
124	233	1634
125	234	1623
126	234	1612
127	235	1601
128	235	1591
129	236	1581
130	236	1571
131	237	1560
132	237	1550
133	238	1541
134	239	1532
135	239	1522
136	240	1513
137	240	1504
138	241	1495
139	242	1487
140	242	1478
141	243	1470
142	244	1463
143	244	1454
144	245	1446
145	245	1438
146	246	1430
147	247	1421
148	247	1413
149	248	1406
150	248	1398
151	249	1391
152	249	1383
153	250	1375
154	250	1368
155	251	1361
156	252	1353
157	252	1346
158	253	1340
159	254	1333
160	254	1326
161	255	1320
162	255	1313
163	256	1306
164	256	1299
165	257	1293
166	258	1287
167	258	1280
168	259	1274
169	259	1268
170	260	1262
171	261	1256
172	261	1251
173	262	1245
174	262	1239
175	263	1233
176	264	1228
177	264	1222
178	265	1216
179	265	1211
180	266	1206
181	267	1200
182	267	1196
183	268	1191
184	269	1186
185	270	1181
186	270	1176
187	271	1171
188	271	1166
189	272	1162
190	273	1157
191	273	1153
192	274	1148
193	275	1144
194	276	1139
195	276	1135
196	277	1131
197	278	1126
198	278	1122
199	279	1118
200	280	1113
201	280	1109
202	281	1104
203	281	1100
204	282	1096
205	283	1092
206	284	1087
207	284	1083
208	285	1078
209	285	1074
210	286	1070
211	286	1066
212	287	1062
213	288	1058
214	288	1054
215	289	1050
216	290	1046
217	290	1042
218	291	1038
219	291	1034
220	292	1030
221	293	1027
222	293	1023
223	294	1020
224	294	1016
225	295	1012
226	296	1008
227	296	1004
228	297	1000
229	297	997
230	298	993
231	299	990
232	299	986
233	300	983
234	300	979
235	301	976
236	302	972
237	302	968
238	303	965
239	303	961
240	304	958
241	304	954
242	305	951
243	306	948
244	306	944
245	307	941
246	307	938
247	308	934
248	308	931
249	309	928
250	309	924
251	310	921
252	310	918
253	311	914
254	312	911
255	312	908
256	313	905
257	314	903
258	314	900
259	315	897
260	315	894
261	316	891
262	316	888
263	317	884
264	317	881
265	318	879
266	319	876
267	319	873
268	320	870
269	320	867
270	321	864
271	322	861
272	322	859
273	323	856
274	323	853
275	324	850
276	324	848
277	325	845
278	325	842
279	326	839
280	327	836
281	327	834
282	328	832
283	329	829
284	329	826
285	330	824
286	330	821
287	331	819
288	331	816
289	332	814
290	333	811
291	333	809
292	334	807
293	335	804
294	335	802
295	336	799
296	336	797
297	337	794
298	338	792
299	338	790
300	339	787
301	339	785
302	340	783
303	340	780
304	341	778
305	342	775
306	342	773
307	343	771
308	344	769
309	344	767
310	345	765
311	345	762
312	346	760
313	346	758
314	347	755
315	348	753
316	348	751
317	349	749
318	350	747
319	350	745
320	351	743
321	351	740
322	352	738
323	352	736
324	353	734
325	354	732
326	354	729
327	355	727
328	355	725
329	356	723
330	356	721
331	357	718
332	357	716
333	358	714
334	359	712
335	359	710
336	360	708
337	360	706
338	361	704
339	362	702
340	362	700
341	363	698
342	363	696
343	364	694
344	364	692
345	365	690
346	365	688
347	366	686
348	367	684
349	367	682
350	368	680
351	368	678
352	369	677
353	369	675
354	370	673
355	371	671
356	371	669
357	372	667
358	372	665
359	373	663
360	373	661
361	374	660
362	375	658
363	375	656
364	376	654
365	376	652
366	377	651
367	378	649
368	378	647
369	379	645
370	379	644
371	380	642
372	381	640
373	381	638
374	382	637
375	382	635
376	383	633
377	383	631
378	384	630
379	385	628
380	385	626
381	386	625
382	386	623
383	387	621
384	388	619
385	388	618
386	389	616
387	390	615
388	390	613
389	391	612
390	392	610
391	392	609
392	393	607
393	393	605
394	394	604
395	395	602
396	395	600
397	396	599
398	396	597
399	397	596
400	397	594
401	398	592
402	399	591
403	399	589
404	400	588
405	401	586
406	401	585
407	402	583
408	402	582
409	403	580
410	404	579
411	404	577
412	405	576
413	406	575
414	406	573
415	407	571
416	408	570
417	408	568
418	409	567
419	409	565
420	410	564
421	410	562
422	411	561
423	412	559
424	412	558
425	413	556
426	413	555
427	414	553
428	414	552
429	415	550
430	416	549
431	416	547
432	417	546
433	417	544
434	418	543
435	419	542
436	419	540
437	420	539
438	420	537
439	421	536
440	422	535
441	422	533
442	423	532
443	423	530
444	424	529
445	425	527
446	425	526
447	426	525
448	426	523
449	427	522
450	428	521
451	428	519
452	429	518
453	429	516
454	430	515
455	430	514
456	431	512
457	432	511
458	432	509
459	433	508
460	433	507
461	434	505
462	435	504
463	435	503
464	436	502
465	437	500
466	437	499
467	438	498
468	438	496
469	439	495
470	439	494
471	440	492
472	441	491
473	441	490
474	442	488
475	442	487
476	443	486
477	443	484
478	444	483
479	444	482
480	445	480
481	446	479
482	446	478
483	447	476
484	447	475
485	448	474
486	449	473
487	449	471
488	450	470
489	450	469
490	451	468
491	452	466
492	452	465
493	453	464
494	453	463
495	454	461
496	455	460
497	455	459
498	456	458
499	456	456
500	457	455
501	458	454
502	458	453
503	459	451
504	459	450
505	460	449
506	460	448
507	461	446
508	462	445
509	462	444
510	463	443
511	463	442
512	464	441
513	465	439
514	465	438
515	466	437
516	466	436
517	467	435
518	468	433
519	468	432
520	469	431
521	469	430
522	470	429
523	471	427
524	471	426
525	472	425
526	472	424
527	473	423
528	473	421
529	474	420
530	474	419
531	475	418
532	476	417
533	476	415
534	477	414
535	477	413
536	478	412
537	478	411
538	479	410
539	480	408
540	480	407
541	481	406
542	481	405
543	482	404
544	482	403
545	483	401
546	483	400
547	484	399
548	485	398
549	485	397
550	486	396
551	486	395
552	487	393
553	487	392
554	488	391
555	488	390
556	489	389
557	490	388
558	490	387
559	491	386
560	491	384
561	492	383
562	493	382
563	493	381
564	494	380
565	494	379
566	495	378
567	496	377
568	496	376
569	497	375
570	497	374
571	498	373
572	499	371
573	499	370
574	500	369
575	500	368
576	501	367
577	501	366
578	502	365
579	502	364
580	503	363
581	504	362
582	504	361
583	505	360
584	505	358
585	506	357
586	507	356
587	507	355
588	508	354
589	508	353
590	509	352
591	509	351
592	510	350
593	511	349
594	511	348
595	512	347
596	513	346
597	513	345
598	514	344
599	515	343
600	515	342
601	516	341
602	517	340
603	517	339
604	518	338
605	519	337
606	519	336
607	520	335
608	520	334
609	521	333
610	522	332
611	522	331
612	523	330
613	523	329
614	524	328
615	524	327
616	525	326
617	526	325
618	526	324
619	527	323
620	527	322
621	528	321
622	528	320
623	529	319
624	530	318
625	530	317
626	531	316
627	532	315
628	532	314
629	533	313
630	533	312
631	534	311
632	534	310
633	535	309
634	535	308
635	536	307
636	536	306
637	537	305
638	538	304
639	538	302
640	539	301
641	539	300
642	540	299
643	540	299
644	541	298
645	542	297
646	543	296
647	543	295
648	544	294
649	544	293
650	545	292
651	545	291
652	546	290
653	546	289
654	547	288
655	548	287
656	548	286
657	549	285
658	550	284
659	550	283
660	551	282
661	551	281
662	552	280
663	552	279
664	553	278
665	554	277
666	554	276
667	555	276
668	556	275
669	556	274
670	557	273
671	558	272
672	558	271
673	559	270
674	559	269
675	560	268
676	561	267
677	561	266
678	562	265
679	562	264
680	563	263
681	563	262
682	564	261
683	564	260
684	565	260
685	566	259
686	566	258
687	567	257
688	567	256
689	568	255
690	569	254
691	569	253
692	570	252
693	570	251
694	571	250
695	572	249
696	572	248
697	573	248
698	573	247
699	574	246
700	574	245
701	575	244
702	576	243
703	576	242
704	577	241
705	577	240
706	578	239
707	578	238
708	579	237
709	580	236
710	580	235
711	581	235
712	581	234
713	582	233
714	584	232
715	584	231
716	585	231
717	586	230
718	586	229
719	587	228
720	587	227
721	588	226
722	588	225
723	589	224
724	590	223
725	590	222
726	591	222
727	591	221
728	592	220
729	593	219
730	593	218
731	594	217
732	594	216
733	595	215
734	595	214
735	596	213
736	596	212
737	597	212
738	597	211
739	598	210
740	599	209
741	599	208
742	600	207
743	600	206
744	601	205
745	602	205
746	602	204
747	603	203
748	603	202
749	604	201
750	604	200
751	605	199
752	606	198
753	606	197
754	607	197
755	607	196
756	608	195
757	609	194
758	609	193
759	610	192
760	610	191
761	611	190
762	611	189
763	612	189
764	612	188
765	613	187
766	613	186
767	614	185
768	615	184
769	615	183
770	616	183
771	616	182
772	617	181
773	618	180
774	618	179
775	619	178
776	619	177
777	620	177
778	620	176
779	621	175
780	622	174
781	622	173
782	623	172
783	623	171
784	624	171
785	624	170
786	625	169
787	625	168
788	626	167
789	627	166
790	627	165
791	628	165
792	628	164
793	629	163
794	629	162
795	630	161
796	631	160
797	631	159
798	632	159
799	633	158
800	633	157
801	634	156
802	634	155
803	635	154
804	635	154
805	636	153
806	637	152
807	637	151
808	638	150
809	638	149
810	639	149
811	639	148
812	640	147
813	641	146
814	641	145
815	642	144
816	642	143
817	643	143
818	643	142
819	644	141
820	644	140
821	645	139
822	646	138
823	646	138
824	647	137
825	647	136
826	648	135
827	649	134
828	649	133
829	650	133
830	650	132
831	651	131
832	651	130
833	652	129
834	652	128
835	653	128
836	653	127
837	654	126
838	655	125
839	655	124
840	656	124
841	656	123
842	657	122
843	658	121
844	658	120
845	659	120
846	659	119
847	660	118
848	661	117
849	661	116
850	662	115
851	662	115
852	663	114
853	663	113
854	664	112
855	665	111
856	665	111
857	666	110
858	666	109
859	667	108
860	667	107
861	668	107
862	669	106
863	669	105
864	670	104
865	670	103
866	671	103
867	672	102
868	672	101
869	673	100
